frame_number,landmark,x,y,z
0,NOSE,0.4912610948085785,0.4083921015262604,-0.5992087125778198
0,LEFT_EYE_INNER,0.5119566321372986,0.3623654246330261,-0.5552158951759338
0,LEFT_EYE,0.5231825709342957,0.3643607199192047,-0.5550220608711243
0,LEFT_EYE_OUTER,0.5352434515953064,0.36670759320259094,-0.5551948547363281
0,RIGHT_EYE_INNER,0.4710942208766937,0.360740065574646,-0.5671089291572571
0,RIGHT_EYE,0.455949068069458,0.36120542883872986,-0.5667736530303955
0,RIGHT_EYE_OUTER,0.44350385665893555,0.3620913028717041,-0.5670636892318726
0,LEFT_EAR,0.552924394607544,0.3919253945350647,-0.28882333636283875
0,RIGHT_EAR,0.42183926701545715,0.38635680079460144,-0.3341660499572754
0,MOUTH_LEFT,0.5129011273384094,0.4596709609031677,-0.5007018446922302
0,MOUTH_RIGHT,0.45988187193870544,0.45839715003967285,-0.5133415460586548
0,LEFT_SHOULDER,0.6602842211723328,0.6662976741790771,-0.15120431780815125
0,RIGHT_SHOULDER,0.3042488396167755,0.6445359587669373,-0.2958318293094635
0,LEFT_ELBOW,0.7371731400489807,0.9856649041175842,-0.09960977733135223
0,RIGHT_ELBOW,0.21948333084583282,0.9803677201271057,-0.28839293122291565
0,LEFT_WRIST,0.8057100176811218,1.2986650466918945,-0.3110056221485138
0,RIGHT_WRIST,0.1674189418554306,1.2699007987976074,-0.5532245635986328
0,LEFT_PINKY,0.8466760516166687,1.381771445274353,-0.3701206147670746
0,RIGHT_PINKY,0.13767071068286896,1.3472014665603638,-0.6207659840583801
0,LEFT_INDEX,0.8115509152412415,1.389533519744873,-0.42557746171951294
0,RIGHT_INDEX,0.17354807257652283,1.3520232439041138,-0.6964155435562134
0,LEFT_THUMB,0.789293110370636,1.3585468530654907,-0.34644976258277893
0,RIGHT_THUMB,0.191202312707901,1.324578881263733,-0.5945311188697815
0,LEFT_HIP,0.5856477618217468,1.3179216384887695,0.00349444174207747
0,RIGHT_HIP,0.35010966658592224,1.3205599784851074,7.500004721805453e-05
0,LEFT_KNEE,0.5783274173736572,1.826441764831543,0.04075811430811882
0,RIGHT_KNEE,0.36300450563430786,1.8373817205429077,0.014535666443407536
0,LEFT_ANKLE,0.573927104473114,2.279327154159546,0.5238333940505981
0,RIGHT_ANKLE,0.37169140577316284,2.2814009189605713,0.32393282651901245
