frame,landmark,distance_me_vs_me2,distance_me_vs_me3,distance_me2_vs_me3
0,LEFT_ANKLE,0.10719233564042012,0.06254096376655119,0.1305366635028739
0,LEFT_EAR,0.03972876848079601,0.036218097197029064,0.014724329221293036
0,LEFT_ELBOW,0.30802304890595106,0.3392983525177809,0.08534994898619201
0,LEFT_EYE,0.11143665457532392,0.05652631157693424,0.06298641607702757
0,LEFT_EYE_INNER,0.11213714786384212,0.05790210199603689,0.06300299957096496
0,LEFT_EYE_OUTER,0.11072847762968935,0.05576278605470018,0.06318582789927553
0,LEFT_FOOT_INDEX,0.11308899503752959,0.07413425040098483,0.15612746278104203
0,LEFT_HEEL,0.10966178414708141,0.06701743730778788,0.12582845530220632
0,LEFT_HIP,0.05458400953974377,0.04139360991568871,0.07821694119390336
0,LEFT_INDEX,1.0958774046990432,1.023659434856141,0.26847875473727784
0,LEFT_KNEE,0.09294259495759245,0.036955827333217214,0.11690611400678187
0,LEFT_PINKY,1.12018643702996,1.0786051876835858,0.2685229588141207
0,LEFT_SHOULDER,0.046487566660271186,0.07053250451592144,0.028679999828100523
0,LEFT_THUMB,1.040628258825629,0.9798620020256519,0.2546781896686738
0,LEFT_WRIST,0.929473114939428,0.8894824115856325,0.2579626337459806
0,MOUTH_LEFT,0.09930245405885497,0.049961907845679526,0.055279367841875135
0,MOUTH_RIGHT,0.10011260671794424,0.060077730721644726,0.04935121168385285
0,NOSE,0.1254483597083413,0.0614676140822981,0.07177243419476266
0,RIGHT_ANKLE,0.22991331607582738,0.08563317446694726,0.17920377082229036
0,RIGHT_EAR,0.04785422176992472,0.06469636740292985,0.018531918090255395
0,RIGHT_ELBOW,0.29111945827153285,0.09496577676166916,0.21196873194048227
0,RIGHT_EYE,0.11190882616969203,0.06671330186322365,0.05776654154396855
0,RIGHT_EYE_INNER,0.11190067452100531,0.06569602454332293,0.05836730679975974
0,RIGHT_EYE_OUTER,0.11231168230587586,0.06782983582344194,0.05731072462881197
0,RIGHT_FOOT_INDEX,0.1772776036732762,0.09223187720597639,0.14162786919522913
0,RIGHT_HEEL,0.2433464931812144,0.0906825336709772,0.17952173326006313
0,RIGHT_HIP,0.05591080431528936,0.03103265589277429,0.06942253887213212
0,RIGHT_INDEX,0.471915188871273,0.18404231045313837,0.2954776045410661
0,RIGHT_KNEE,0.1101601745784587,0.04218268779009157,0.10834365669894809
0,RIGHT_PINKY,0.4827863951120193,0.18810276744645735,0.30759168303704937
0,RIGHT_SHOULDER,0.12287743430699233,0.04145632892919542,0.08999665369784714
0,RIGHT_THUMB,0.4250821295643809,0.14236935938526704,0.2890650582556463
0,RIGHT_WRIST,0.4213168429388715,0.13772754898943967,0.2911382735030775
1,LEFT_ANKLE,0.14623934679056616,0.05443782122945606,0.17187072830144953
1,LEFT_EAR,0.0658468394367407,0.08431202166997182,0.02143633396917406
1,LEFT_ELBOW,0.30902383014488566,0.2734566381003437,0.06238288937744384
1,LEFT_EYE,0.01829058175056041,0.12326298923161126,0.128261520749943
1,LEFT_EYE_INNER,0.020805876353198194,0.12341754930679416,0.12813663380482612
1,LEFT_EYE_OUTER,0.016538460895461772,0.12362700186278172,0.12818612159021775
1,LEFT_FOOT_INDEX,0.12643149246837254,0.047277824193823065,0.10358813549310242
1,LEFT_HEEL,0.14543345720756173,0.051891801867462006,0.17282397658783102
1,LEFT_HIP,0.04267968543859237,0.02612535112584317,0.0587535597706378
1,LEFT_INDEX,1.1107182319381437,0.9531072580717608,0.17440595833491798
1,LEFT_KNEE,0.08989325257632323,0.037808276618175554,0.08100108717973468
1,LEFT_PINKY,1.1489985246480547,0.9828377082850226,0.19365446818952348
1,LEFT_SHOULDER,0.090123854225866,0.11119161852991613,0.030233748634148527
1,LEFT_THUMB,1.0571414097692973,0.8972695834072882,0.16898698538668583
1,LEFT_WRIST,0.954008085527187,0.7889391278463435,0.18442590025713274
1,MOUTH_LEFT,0.027525012894619876,0.12227538395063565,0.12477259774764984
1,MOUTH_RIGHT,0.02890370538362795,0.12751513208551063,0.13852650167205813
1,NOSE,0.03855865784767795,0.1351376401596759,0.16010847359380292
1,RIGHT_ANKLE,0.16864878897993563,0.021578329114341783,0.16952985024741563
1,RIGHT_EAR,0.04439422795924402,0.09689308987647706,0.056434763332645146
1,RIGHT_ELBOW,0.3629861511521269,0.3248804881001045,0.04253774476960638
1,RIGHT_EYE,0.026123772322610855,0.1292659563814364,0.13777566050284748
1,RIGHT_EYE_INNER,0.025098425008197152,0.12845665232832987,0.13795823213693953
1,RIGHT_EYE_OUTER,0.027732869811179284,0.1298863430262174,0.137622041735476
1,RIGHT_FOOT_INDEX,0.13413790363060255,0.039998400457198505,0.10485092931026482
1,RIGHT_HEEL,0.1719774057142268,0.025285471653028035,0.16940745811220778
1,RIGHT_HIP,0.042476370268225455,0.017120817446096736,0.051193688360588074
1,RIGHT_INDEX,0.6925446892472605,0.7449166075917751,0.06156175490353529
1,RIGHT_KNEE,0.0928717438420371,0.02072333043718426,0.08270930434020816
1,RIGHT_PINKY,0.6912200253518683,0.7376747351564223,0.05680612033640143
1,RIGHT_SHOULDER,0.14948001350305232,0.14826967499208568,0.00907723920120877
1,RIGHT_THUMB,0.6320613379122094,0.6532456148972857,0.03297100499449125
1,RIGHT_WRIST,0.6188712871539487,0.6377140776541923,0.028909970652651926
2,LEFT_ANKLE,0.1402592839714279,0.11968915576159275,0.2062797453171038
2,LEFT_EAR,0.07774186220168246,0.0967138056041139,0.02255535750265019
