frame_number,landmark,x,y,z
0,NOSE,0.4702816903591156,0.5135481357574463,-1.0951451063156128
0,LEFT_EYE_INNER,0.4868225157260895,0.4778471291065216,-1.0873641967773438
0,LEFT_EYE,0.49646657705307007,0.4747422933578491,-1.0870002508163452
0,LEFT_EYE_OUTER,0.5052677989006042,0.47203773260116577,-1.087345004081726
0,RIGHT_EYE_INNER,0.45262619853019714,0.4823218882083893,-1.085661768913269
0,RIGHT_EYE,0.4403899610042572,0.48273009061813354,-1.0857793092727661
0,RIGHT_EYE_OUTER,0.43062564730644226,0.4836235046386719,-1.0858756303787231
0,LEFT_EAR,0.5221619606018066,0.4759199321269989,-0.8864690065383911
0,RIGHT_EAR,0.42193347215652466,0.48983240127563477,-0.8679606914520264
0,MOUTH_LEFT,0.48924490809440613,0.5416094660758972,-1.005954384803772
0,MOUTH_RIGHT,0.45251476764678955,0.5506284832954407,-1.0016443729400635
0,LEFT_SHOULDER,0.6023079752922058,0.6338726878166199,-0.6700887680053711
0,RIGHT_SHOULDER,0.35163170099258423,0.6410408616065979,-0.6220106482505798
0,LEFT_ELBOW,0.668669581413269,0.8706201910972595,-0.5567499399185181
0,RIGHT_ELBOW,0.2754746377468109,0.8594213128089905,-0.6261964440345764
0,LEFT_WRIST,0.6101400256156921,0.9924770593643188,-0.5611434578895569
0,RIGHT_WRIST,0.3640977442264557,0.9017878770828247,-0.7918462157249451
0,LEFT_PINKY,0.600596010684967,1.0388600826263428,-0.5894008874893188
0,RIGHT_PINKY,0.386785089969635,0.9337201714515686,-0.8301426768302917
0,LEFT_INDEX,0.5771039128303528,1.0248758792877197,-0.5906025767326355
0,RIGHT_INDEX,0.3970170319080353,0.9020663499832153,-0.8288782835006714
0,LEFT_THUMB,0.578346848487854,1.0078188180923462,-0.5577068328857422
0,RIGHT_THUMB,0.39079350233078003,0.8927332758903503,-0.7929479479789734
0,LEFT_HIP,0.5439707040786743,0.975542426109314,-0.025905154645442963
0,RIGHT_HIP,0.3822290003299713,0.9935830235481262,0.027659153565764427
0,LEFT_KNEE,0.5329911112785339,1.3046989440917969,0.16396495699882507
0,RIGHT_KNEE,0.37698158621788025,1.2936698198318481,0.35560888051986694
0,LEFT_ANKLE,0.5218799114227295,1.5633183717727661,0.7295818328857422
0,RIGHT_ANKLE,0.36653536558151245,1.5560078620910645,0.8806073069572449
0,LEFT_HEEL,0.5220162272453308,1.608679175376892,0.7751215100288391
0,RIGHT_HEEL,0.3629865348339081,1.6033936738967896,0.9279277920722961
0,LEFT_FOOT_INDEX,0.49975138902664185,1.6753976345062256,0.49243009090423584
0,RIGHT_FOOT_INDEX,0.39070960879325867,1.6669477224349976,0.630705714225769
1,NOSE,0.4703921973705292,0.5128320455551147,-0.9251078963279724
1,LEFT_EYE_INNER,0.4870493710041046,0.47651100158691406,-0.9102550148963928
1,LEFT_EYE,0.49707236886024475,0.4738205671310425,-0.9101560711860657
1,LEFT_EYE_OUTER,0.5055940747261047,0.4716600775718689,-0.9104508757591248
1,RIGHT_EYE_INNER,0.4526187479496002,0.48149219155311584,-0.9105837941169739
1,RIGHT_EYE,0.440545916557312,0.48186710476875305,-0.9105523228645325
1,RIGHT_EYE_OUTER,0.43089184165000916,0.48252108693122864,-0.910772442817688
1,LEFT_EAR,0.5220268964767456,0.47560352087020874,-0.686236560344696
1,RIGHT_EAR,0.4219280779361725,0.4882725477218628,-0.6774893999099731
1,MOUTH_LEFT,0.4902208149433136,0.5414556860923767,-0.827414870262146
1,MOUTH_RIGHT,0.4525655508041382,0.5503178834915161,-0.8266280293464661
1,LEFT_SHOULDER,0.6045751571655273,0.6339395046234131,-0.48047247529029846
1,RIGHT_SHOULDER,0.3510727286338806,0.6412385106086731,-0.45022183656692505
1,LEFT_ELBOW,0.6703869700431824,0.8704987168312073,-0.45454394817352295
1,RIGHT_ELBOW,0.2781584560871124,0.8356239199638367,-0.5118719339370728
1,LEFT_WRIST,0.5974875092506409,0.992734432220459,-0.5475804805755615
1,RIGHT_WRIST,0.37521469593048096,0.8918830156326294,-0.7358275651931763
1,LEFT_PINKY,0.5764874219894409,1.0403141975402832,-0.5846382975578308
1,RIGHT_PINKY,0.40313562750816345,0.9319020509719849,-0.7795571088790894
1,LEFT_INDEX,0.5543384552001953,1.0238810777664185,-0.5760229825973511
1,RIGHT_INDEX,0.4141393303871155,0.9011692404747009,-0.7731788754463196
1,LEFT_THUMB,0.5583497881889343,1.0057700872421265,-0.5414636135101318
1,RIGHT_THUMB,0.40543684363365173,0.8894141316413879,-0.735491931438446
1,LEFT_HIP,0.5458646416664124,0.9927498698234558,-0.032429568469524384
1,RIGHT_HIP,0.3839692175388336,1.0022804737091064,0.03416171297430992
1,LEFT_KNEE,0.534136176109314,1.3271819353103638,0.05773525312542915
1,RIGHT_KNEE,0.3772633373737335,1.3071599006652832,0.24022378027439117
1,LEFT_ANKLE,0.522900402545929,1.5842137336730957,0.5868643522262573
1,RIGHT_ANKLE,0.36833426356315613,1.581422209739685,0.7035291194915771
1,LEFT_HEEL,0.5245416164398193,1.6248598098754883,0.627334475517273
1,RIGHT_HEEL,0.3661705255508423,1.6287785768508911,0.7422211766242981
1,LEFT_FOOT_INDEX,0.4975510835647583,1.7056622505187988,0.33343908190727234
1,RIGHT_FOOT_INDEX,0.3895808458328247,1.6964935064315796,0.43904951214790344
2,NOSE,0.4703376889228821,0.5104846358299255,-0.9709895849227905
2,LEFT_EYE_INNER,0.48705118894577026,0.47340697050094604,-0.9595009088516235
