frame_number,landmark,x,y,z
23,NOSE,0.5140902400016785,0.4536387622356415,0.05299394205212593
23,LEFT_EYE_INNER,0.5134134888648987,0.4427487552165985,0.0374319963157177
23,LEFT_EYE,0.5126948356628418,0.4419264495372772,0.03740089014172554
23,LEFT_EYE_OUTER,0.5119268894195557,0.44125840067863464,0.037378765642642975
23,RIGHT_EYE_INNER,0.5157825350761414,0.4433257281780243,0.04336726292967796
23,RIGHT_EYE,0.5166831612586975,0.4428531229496002,0.04336845874786377
23,RIGHT_EYE_OUTER,0.5176073908805847,0.44241565465927124,0.04334622994065285
23,LEFT_EAR,0.5130492448806763,0.4444979131221771,-0.011925458908081055
23,RIGHT_EAR,0.5205967426300049,0.44440019130706787,0.015368349850177765
23,MOUTH_LEFT,0.5141976475715637,0.4607512652873993,0.038799408823251724
23,MOUTH_RIGHT,0.5157010555267334,0.46128833293914795,0.04651599004864693
23,LEFT_SHOULDER,0.5000154972076416,0.49242281913757324,-0.04739448055624962
23,RIGHT_SHOULDER,0.5362029671669006,0.5027783513069153,0.016513854265213013
23,LEFT_ELBOW,0.48487386107444763,0.5379312634468079,-0.03425879776477814
23,RIGHT_ELBOW,0.556580126285553,0.5627113580703735,0.036956556141376495
23,LEFT_WRIST,0.4761480391025543,0.546736478805542,0.005312689114362001
23,RIGHT_WRIST,0.5509313941001892,0.6017355918884277,0.06873225420713425
23,LEFT_PINKY,0.47069644927978516,0.5551646947860718,0.003166225040331483
23,RIGHT_PINKY,0.5515528321266174,0.6289751529693604,0.07145532220602036
23,LEFT_INDEX,0.4705928862094879,0.5514205694198608,0.003020814387127757
23,RIGHT_INDEX,0.54521244764328,0.6153021454811096,0.06893694400787354
23,LEFT_THUMB,0.4740213453769684,0.5492406487464905,0.0065833148546516895
23,RIGHT_THUMB,0.545065701007843,0.6120558381080627,0.06872124969959259
23,LEFT_HIP,0.506791353225708,0.6395869255065918,-0.034904398024082184
23,RIGHT_HIP,0.5242195129394531,0.6282724738121033,0.03483518585562706
23,LEFT_KNEE,0.49650922417640686,0.740500271320343,-0.04209812358021736
23,RIGHT_KNEE,0.5348512530326843,0.7380893230438232,0.04841572418808937
23,LEFT_ANKLE,0.5008876919746399,0.8380157947540283,-0.03632039204239845
23,RIGHT_ANKLE,0.5484256148338318,0.8309175968170166,0.05335016921162605
23,LEFT_HEEL,0.5104593634605408,0.8554933071136475,-0.03565679118037224
23,RIGHT_HEEL,0.5482298135757446,0.8476309180259705,0.053632836788892746
23,LEFT_FOOT_INDEX,0.4812332093715668,0.854113757610321,-0.059181276708841324
23,RIGHT_FOOT_INDEX,0.5467496514320374,0.8508602380752563,0.03593583405017853
24,NOSE,0.5141302347183228,0.4526081681251526,0.09154828637838364
24,LEFT_EYE_INNER,0.513455331325531,0.4423147737979889,0.0725899487733841
24,LEFT_EYE,0.5127092599868774,0.4416559636592865,0.0725673958659172
24,LEFT_EYE_OUTER,0.5119280219078064,0.4411126375198364,0.07256341725587845
24,RIGHT_EYE_INNER,0.5159223675727844,0.4426700174808502,0.07986509054899216
24,RIGHT_EYE,0.5168641209602356,0.4422619342803955,0.0798601433634758
24,RIGHT_EYE_OUTER,0.5178428292274475,0.4419059157371521,0.07984265685081482
24,LEFT_EAR,0.5129554867744446,0.4444458484649658,0.00880992691963911
24,RIGHT_EAR,0.5209841728210449,0.44427305459976196,0.040654852986335754
24,MOUTH_LEFT,0.5141397714614868,0.4599519968032837,0.07167056947946548
24,MOUTH_RIGHT,0.5156927704811096,0.460424542427063,0.08069545030593872
24,LEFT_SHOULDER,0.498760849237442,0.49317988753318787,-0.0454220175743103
24,RIGHT_SHOULDER,0.5364184975624084,0.5040916800498962,0.03654804453253746
24,LEFT_ELBOW,0.485535591840744,0.5431703329086304,-0.07216338813304901
24,RIGHT_ELBOW,0.5589298605918884,0.5634816288948059,0.03877875581383705
24,LEFT_WRIST,0.4758245646953583,0.5466161966323853,-0.07184296101331711
24,RIGHT_WRIST,0.5461811423301697,0.5959486961364746,0.041107527911663055
24,LEFT_PINKY,0.47074195742607117,0.553467869758606,-0.08295144885778427
24,RIGHT_PINKY,0.5424561500549316,0.6078669428825378,0.03976643085479736
24,LEFT_INDEX,0.4706892669200897,0.5509835481643677,-0.07808826118707657
24,RIGHT_INDEX,0.5376672744750977,0.6071010231971741,0.034974705427885056
24,LEFT_THUMB,0.4738346338272095,0.5485900044441223,-0.06987649947404861
24,RIGHT_THUMB,0.5382328629493713,0.6040863394737244,0.03899898752570152
24,LEFT_HIP,0.5083589553833008,0.6335949897766113,-0.03494972735643387
24,RIGHT_HIP,0.5238918662071228,0.6278966069221497,0.03488614782691002
24,LEFT_KNEE,0.49670132994651794,0.7389031052589417,-0.03591148182749748
24,RIGHT_KNEE,0.5348134636878967,0.7361129522323608,0.05214741453528404
24,LEFT_ANKLE,0.4988539516925812,0.8380157947540283,-0.022784672677516937
24,RIGHT_ANKLE,0.5514554977416992,0.8311064839363098,0.06320566684007645
24,LEFT_HEEL,0.5063833594322205,0.8555154204368591,-0.020791485905647278
24,RIGHT_HEEL,0.5516572594642639,0.8480480909347534,0.06389819830656052
24,LEFT_FOOT_INDEX,0.478628545999527,0.85544353723526,-0.03949863091111183
24,RIGHT_FOOT_INDEX,0.5521137714385986,0.8506776094436646,0.045083630830049515
25,NOSE,0.5140894651412964,0.45137107372283936,0.08084289729595184
25,LEFT_EYE_INNER,0.5134556293487549,0.44165146350860596,0.06221556290984154
25,LEFT_EYE,0.5127148032188416,0.44111141562461853,0.06219719350337982
